Turn, PlayerIndex, Control, HeroesDiscovered, HeroesClaimed, HeroesRecalled, DiscoveryOrder
1, 0, Human, 0, 0, 0, Rebuilding Discovery Order
1, 1, AI, 0, 0, 0, Rebuilding Discovery Order
1, 2, AI, 0, 0, 0, Rebuilding Discovery Order
1, 3, AI, 0, 0, 0, Rebuilding Discovery Order
1, 4, AI, 0, 0, 0, Rebuilding Discovery Order
1, 5, AI, 0, 0, 0, Rebuilding Discovery Order
1, 0, Human, 0, 0, 0, Rebuilding Discovery Order
1, 1, AI, 0, 0, 0, Rebuilding Discovery Order
1, 2, AI, 0, 0, 0, Rebuilding Discovery Order
1, 3, AI, 0, 0, 0, Rebuilding Discovery Order
1, 4, AI, 0, 0, 0, Rebuilding Discovery Order
1, 5, AI, 0, 0, 0, Rebuilding Discovery Order
1, 6, AI, 0, 0, 0, Rebuilding Discovery Order
1, 7, AI, 0, 0, 0, Rebuilding Discovery Order
1, 8, AI, 0, 0, 0, Rebuilding Discovery Order
1, 9, AI, 0, 0, 0, Rebuilding Discovery Order
2, 0, Human, 0, 0, 0, Rebuilding Discovery Order
2, 1, AI, 0, 0, 0, Rebuilding Discovery Order
2, 2, AI, 0, 0, 0, Rebuilding Discovery Order
2, 3, AI, 0, 0, 0, Rebuilding Discovery Order
2, 4, AI, 0, 0, 0, Rebuilding Discovery Order
2, 5, AI, 0, 0, 0, Rebuilding Discovery Order
2, 6, AI, 0, 0, 0, Rebuilding Discovery Order
2, 7, AI, 0, 0, 0, Rebuilding Discovery Order
2, 8, AI, 0, 0, 0, Rebuilding Discovery Order
2, 9, AI, 0, 0, 0, Rebuilding Discovery Order
3, 0, Human, 0, 0, 0, Rebuilding Discovery Order
3, 1, AI, 0, 0, 0, Rebuilding Discovery Order
3, 2, AI, 0, 0, 0, Rebuilding Discovery Order
3, 3, AI, 0, 0, 0, Rebuilding Discovery Order
3, 4, AI, 0, 0, 0, Rebuilding Discovery Order
3, 5, AI, 0, 0, 0, Rebuilding Discovery Order
3, 6, AI, 0, 0, 0, Rebuilding Discovery Order
3, 7, AI, 0, 0, 0, Rebuilding Discovery Order
3, 8, AI, 0, 0, 0, Rebuilding Discovery Order
3, 9, AI, 0, 0, 0, Rebuilding Discovery Order
4, 0, Human, 0, 0, 0, Rebuilding Discovery Order
4, 1, AI, 0, 0, 0, Rebuilding Discovery Order
4, 2, AI, 0, 0, 0, Rebuilding Discovery Order
4, 3, AI, 0, 0, 0, Rebuilding Discovery Order
4, 4, AI, 0, 0, 0, Rebuilding Discovery Order
4, 5, AI, 0, 0, 0, Rebuilding Discovery Order
4, 6, AI, 0, 0, 0, Rebuilding Discovery Order
4, 7, AI, 0, 0, 0, Rebuilding Discovery Order
4, 8, AI, 0, 0, 0, Rebuilding Discovery Order
4, 9, AI, 0, 0, 0, Rebuilding Discovery Order
5, 0, Human, 0, 0, 0, Rebuilding Discovery Order
5, 1, AI, 0, 0, 0, Rebuilding Discovery Order
5, 2, AI, 0, 0, 0, Rebuilding Discovery Order
5, 3, AI, 0, 0, 0, Rebuilding Discovery Order
5, 4, AI, 0, 0, 0, Rebuilding Discovery Order
5, 5, AI, 0, 0, 0, Rebuilding Discovery Order
5, 6, AI, 0, 0, 0, Rebuilding Discovery Order
5, 7, AI, 0, 0, 0, Rebuilding Discovery Order
5, 8, AI, 0, 0, 0, Rebuilding Discovery Order
5, 9, AI, 0, 0, 0, Rebuilding Discovery Order
1, 0, Human, 0, 0, 0, Rebuilding Discovery Order
1, 1, AI, 0, 0, 0, Rebuilding Discovery Order
1, 2, AI, 0, 0, 0, Rebuilding Discovery Order
1, 3, AI, 0, 0, 0, Rebuilding Discovery Order
1, 4, AI, 0, 0, 0, Rebuilding Discovery Order
1, 5, AI, 0, 0, 0, Rebuilding Discovery Order
1, 6, AI, 0, 0, 0, Rebuilding Discovery Order
1, 7, AI, 0, 0, 0, Rebuilding Discovery Order
1, 8, AI, 0, 0, 0, Rebuilding Discovery Order
1, 9, AI, 0, 0, 0, Rebuilding Discovery Order
2, 0, Human, 0, 0, 0, Rebuilding Discovery Order
2, 1, AI, 0, 0, 0, Rebuilding Discovery Order
2, 2, AI, 0, 0, 0, Rebuilding Discovery Order
2, 3, AI, 0, 0, 0, Rebuilding Discovery Order
2, 4, AI, 0, 0, 0, Rebuilding Discovery Order
2, 5, AI, 0, 0, 0, Rebuilding Discovery Order
2, 6, AI, 0, 0, 0, Rebuilding Discovery Order
2, 7, AI, 0, 0, 0, Rebuilding Discovery Order
2, 8, AI, 0, 0, 0, Rebuilding Discovery Order
2, 9, AI, 0, 0, 0, Rebuilding Discovery Order
1, 0, Human, 0, 0, 0, Rebuilding Discovery Order
1, 1, AI, 0, 0, 0, Rebuilding Discovery Order
1, 2, AI, 0, 0, 0, Rebuilding Discovery Order
1, 3, AI, 0, 0, 0, Rebuilding Discovery Order
1, 4, AI, 0, 0, 0, Rebuilding Discovery Order
1, 5, AI, 0, 0, 0, Rebuilding Discovery Order
1, 6, AI, 0, 0, 0, Rebuilding Discovery Order
1, 7, AI, 0, 0, 0, Rebuilding Discovery Order
1, 8, AI, 0, 0, 0, Rebuilding Discovery Order
1, 9, AI, 0, 0, 0, Rebuilding Discovery Order
2, 0, Human, 0, 0, 0, Rebuilding Discovery Order
2, 1, AI, 0, 0, 0, Rebuilding Discovery Order
2, 2, AI, 0, 0, 0, Rebuilding Discovery Order
2, 3, AI, 0, 0, 0, Rebuilding Discovery Order
2, 4, AI, 0, 0, 0, Rebuilding Discovery Order
2, 5, AI, 0, 0, 0, Rebuilding Discovery Order
2, 6, AI, 0, 0, 0, Rebuilding Discovery Order
2, 7, AI, 0, 0, 0, Rebuilding Discovery Order
2, 8, AI, 0, 0, 0, Rebuilding Discovery Order
2, 9, AI, 0, 0, 0, Rebuilding Discovery Order
3, 0, Human, 0, 0, 0, Rebuilding Discovery Order
3, 1, AI, 0, 0, 0, Rebuilding Discovery Order
3, 2, AI, 0, 0, 0, Rebuilding Discovery Order
3, 3, AI, 0, 0, 0, Rebuilding Discovery Order
3, 4, AI, 0, 0, 0, Rebuilding Discovery Order
3, 5, AI, 0, 0, 0, Rebuilding Discovery Order
3, 6, AI, 0, 0, 0, Rebuilding Discovery Order
3, 7, AI, 0, 0, 0, Rebuilding Discovery Order
3, 8, AI, 0, 0, 0, Rebuilding Discovery Order
3, 9, AI, 0, 0, 0, Rebuilding Discovery Order
4, 0, Human, 0, 0, 0, Rebuilding Discovery Order
4, 1, AI, 0, 0, 0, Rebuilding Discovery Order
4, 2, AI, 0, 0, 0, Rebuilding Discovery Order
4, 3, AI, 0, 0, 0, Rebuilding Discovery Order
4, 4, AI, 0, 0, 0, Rebuilding Discovery Order
4, 5, AI, 0, 0, 0, Rebuilding Discovery Order
4, 6, AI, 0, 0, 0, Rebuilding Discovery Order
4, 7, AI, 0, 0, 0, Rebuilding Discovery Order
4, 8, AI, 0, 0, 0, Rebuilding Discovery Order
4, 9, AI, 0, 0, 0, Rebuilding Discovery Order
5, 0, Human, 0, 0, 0, Rebuilding Discovery Order
5, 1, AI, 0, 0, 0, Rebuilding Discovery Order
5, 2, AI, 0, 0, 0, Rebuilding Discovery Order
5, 3, AI, 0, 0, 0, Rebuilding Discovery Order
5, 4, AI, 0, 0, 0, Rebuilding Discovery Order
5, 5, AI, 0, 0, 0, Rebuilding Discovery Order
5, 6, AI, 0, 0, 0, Rebuilding Discovery Order
5, 7, AI, 0, 0, 0, Rebuilding Discovery Order
5, 8, AI, 0, 0, 0, Rebuilding Discovery Order
5, 9, AI, 0, 0, 0, Rebuilding Discovery Order
6, 0, Human, 0, 0, 0, Rebuilding Discovery Order
6, 1, AI, 0, 0, 0, Rebuilding Discovery Order
6, 2, AI, 0, 0, 0, Rebuilding Discovery Order
6, 3, AI, 0, 0, 0, Rebuilding Discovery Order
6, 4, AI, 0, 0, 0, Rebuilding Discovery Order
6, 5, AI, 0, 0, 0, Rebuilding Discovery Order
6, 6, AI, 0, 0, 0, Rebuilding Discovery Order
6, 7, AI, 0, 0, 0, Rebuilding Discovery Order
6, 8, AI, 0, 0, 0, Rebuilding Discovery Order
6, 9, AI, 0, 0, 0, Rebuilding Discovery Order
7, 0, Human, 0, 0, 0, Rebuilding Discovery Order
7, 1, AI, 0, 0, 0, Rebuilding Discovery Order
7, 2, AI, 0, 0, 0, Rebuilding Discovery Order
7, 3, AI, 0, 0, 0, Rebuilding Discovery Order
7, 4, AI, 0, 0, 0, Rebuilding Discovery Order
7, 5, AI, 0, 0, 0, Rebuilding Discovery Order
7, 6, AI, 0, 0, 0, Rebuilding Discovery Order
7, 7, AI, 0, 0, 0, Rebuilding Discovery Order
7, 8, AI, 0, 0, 0, Rebuilding Discovery Order
7, 9, AI, 0, 0, 0, Rebuilding Discovery Order
8, 0, Human, 0, 0, 0, Rebuilding Discovery Order
8, 1, AI, 0, 0, 0, Rebuilding Discovery Order
8, 2, AI, 0, 0, 0, Rebuilding Discovery Order
8, 3, AI, 0, 0, 0, Rebuilding Discovery Order
8, 4, AI, 0, 0, 0, Rebuilding Discovery Order
8, 5, AI, 0, 0, 0, Rebuilding Discovery Order
8, 6, AI, 0, 0, 0, Rebuilding Discovery Order
8, 7, AI, 0, 0, 0, Rebuilding Discovery Order
8, 8, AI, 0, 0, 0, Rebuilding Discovery Order
8, 9, AI, 0, 0, 0, Rebuilding Discovery Order
9, 0, Human, 0, 0, 0, Rebuilding Discovery Order
9, 1, AI, 0, 0, 0, Rebuilding Discovery Order
9, 2, AI, 0, 0, 0, Rebuilding Discovery Order
9, 3, AI, 0, 0, 0, Rebuilding Discovery Order
9, 4, AI, 0, 0, 0, Rebuilding Discovery Order
9, 5, AI, 0, 0, 0, Rebuilding Discovery Order
9, 6, AI, 0, 0, 0, Rebuilding Discovery Order
9, 7, AI, 0, 0, 0, Rebuilding Discovery Order
9, 8, AI, 0, 0, 0, Rebuilding Discovery Order
9, 9, AI, 0, 0, 0, Rebuilding Discovery Order
10, 0, Human, 0, 0, 0, Rebuilding Discovery Order
10, 1, AI, 0, 0, 0, Rebuilding Discovery Order
10, 2, AI, 0, 0, 0, Rebuilding Discovery Order
10, 3, AI, 0, 0, 0, Rebuilding Discovery Order
10, 4, AI, 0, 0, 0, Rebuilding Discovery Order
10, 5, AI, 0, 0, 0, Rebuilding Discovery Order
10, 6, AI, 0, 0, 0, Rebuilding Discovery Order
10, 7, AI, 0, 0, 0, Rebuilding Discovery Order
10, 8, AI, 0, 0, 0, Rebuilding Discovery Order
10, 9, AI, 0, 0, 0, Rebuilding Discovery Order
11, 0, Human, 0, 0, 0, Rebuilding Discovery Order
11, 1, AI, 0, 0, 0, Rebuilding Discovery Order
11, 2, AI, 0, 0, 0, Rebuilding Discovery Order
11, 3, AI, 0, 0, 0, Rebuilding Discovery Order
11, 4, AI, 0, 0, 0, Rebuilding Discovery Order
11, 5, AI, 0, 0, 0, Rebuilding Discovery Order
11, 6, AI, 0, 0, 0, Rebuilding Discovery Order
11, 7, AI, 0, 0, 0, Rebuilding Discovery Order
11, 8, AI, 0, 0, 0, Rebuilding Discovery Order
11, 9, AI, 0, 0, 0, Rebuilding Discovery Order
12, 0, Human, 0, 0, 0, Rebuilding Discovery Order
12, 1, AI, 0, 0, 0, Rebuilding Discovery Order
12, 2, AI, 0, 0, 0, Rebuilding Discovery Order
12, 3, AI, 0, 0, 0, Rebuilding Discovery Order
12, 4, AI, 0, 0, 0, Rebuilding Discovery Order
12, 5, AI, 0, 0, 0, Rebuilding Discovery Order
12, 6, AI, 0, 0, 0, Rebuilding Discovery Order
12, 7, AI, 0, 0, 0, Rebuilding Discovery Order
12, 8, AI, 0, 0, 0, Rebuilding Discovery Order
12, 9, AI, 0, 0, 0, Rebuilding Discovery Order
13, 0, Human, 0, 0, 0, Rebuilding Discovery Order
13, 1, AI, 0, 0, 0, Rebuilding Discovery Order
13, 2, AI, 0, 0, 0, Rebuilding Discovery Order
13, 3, AI, 0, 0, 0, Rebuilding Discovery Order
13, 4, AI, 0, 0, 0, Rebuilding Discovery Order
13, 5, AI, 0, 0, 0, Rebuilding Discovery Order
13, 6, AI, 0, 0, 0, Rebuilding Discovery Order
13, 7, AI, 0, 0, 0, Rebuilding Discovery Order
13, 8, AI, 0, 0, 0, Rebuilding Discovery Order
13, 9, AI, 0, 0, 0, Rebuilding Discovery Order
14, 0, Human, 0, 0, 0, Rebuilding Discovery Order
14, 1, AI, 0, 0, 0, Rebuilding Discovery Order
14, 2, AI, 0, 0, 0, Rebuilding Discovery Order
14, 3, AI, 0, 0, 0, Rebuilding Discovery Order
14, 4, AI, 0, 0, 0, Rebuilding Discovery Order
14, 5, AI, 0, 0, 0, Rebuilding Discovery Order
14, 6, AI, 0, 0, 0, Rebuilding Discovery Order
14, 7, AI, 0, 0, 0, Rebuilding Discovery Order
14, 8, AI, 0, 0, 0, Rebuilding Discovery Order
14, 9, AI, 0, 0, 0, Rebuilding Discovery Order
15, 0, Human, 0, 0, 0, Rebuilding Discovery Order
15, 1, AI, 0, 0, 0, Rebuilding Discovery Order
15, 2, AI, 0, 0, 0, Rebuilding Discovery Order
15, 3, AI, 0, 0, 0, Rebuilding Discovery Order
15, 4, AI, 0, 0, 0, Rebuilding Discovery Order
15, 5, AI, 0, 0, 0, Rebuilding Discovery Order
15, 6, AI, 0, 0, 0, Rebuilding Discovery Order
15, 7, AI, 0, 0, 0, Rebuilding Discovery Order
15, 8, AI, 0, 0, 0, Rebuilding Discovery Order
15, 9, AI, 0, 0, 0, Rebuilding Discovery Order
16, 0, Human, 0, 0, 0, Rebuilding Discovery Order
16, 1, AI, 0, 0, 0, Rebuilding Discovery Order
16, 2, AI, 0, 0, 0, Rebuilding Discovery Order
16, 3, AI, 0, 0, 0, Rebuilding Discovery Order
16, 4, AI, 0, 0, 0, Rebuilding Discovery Order
16, 5, AI, 0, 0, 0, Rebuilding Discovery Order
16, 6, AI, 0, 0, 0, Rebuilding Discovery Order
16, 7, AI, 0, 0, 0, Rebuilding Discovery Order
16, 8, AI, 0, 0, 0, Rebuilding Discovery Order
16, 9, AI, 0, 0, 0, Rebuilding Discovery Order
17, 0, Human, 0, 0, 0, Rebuilding Discovery Order
17, 1, AI, 0, 0, 0, Rebuilding Discovery Order
17, 2, AI, 0, 0, 0, Rebuilding Discovery Order
17, 3, AI, 0, 0, 0, Rebuilding Discovery Order
17, 4, AI, 0, 0, 0, Rebuilding Discovery Order
17, 5, AI, 0, 0, 0, Rebuilding Discovery Order
17, 6, AI, 0, 0, 0, Rebuilding Discovery Order
17, 7, AI, 0, 0, 0, Rebuilding Discovery Order
17, 8, AI, 0, 0, 0, Rebuilding Discovery Order
17, 9, AI, 0, 0, 0, Rebuilding Discovery Order
18, 0, Human, 0, 0, 0, Rebuilding Discovery Order
18, 1, AI, 0, 0, 0, Rebuilding Discovery Order
18, 2, AI, 0, 0, 0, Rebuilding Discovery Order
18, 3, AI, 0, 0, 0, Rebuilding Discovery Order
18, 4, AI, 0, 0, 0, Rebuilding Discovery Order
18, 5, AI, 0, 0, 0, Rebuilding Discovery Order
18, 6, AI, 0, 0, 0, Rebuilding Discovery Order
18, 7, AI, 0, 0, 0, Rebuilding Discovery Order
18, 8, AI, 0, 0, 0, Rebuilding Discovery Order
18, 9, AI, 0, 0, 0, Rebuilding Discovery Order
19, 0, Human, 0, 0, 0, Rebuilding Discovery Order
19, 1, AI, 0, 0, 0, Rebuilding Discovery Order
19, 2, AI, 0, 0, 0, Rebuilding Discovery Order
19, 3, AI, 0, 0, 0, Rebuilding Discovery Order
19, 4, AI, 0, 0, 0, Rebuilding Discovery Order
19, 5, AI, 0, 0, 0, Rebuilding Discovery Order
19, 6, AI, 0, 0, 0, Rebuilding Discovery Order
19, 7, AI, 0, 0, 0, Rebuilding Discovery Order
19, 8, AI, 0, 0, 0, Rebuilding Discovery Order
19, 9, AI, 0, 0, 0, Rebuilding Discovery Order
20, 0, Human, 0, 0, 0, Rebuilding Discovery Order
20, 1, AI, 0, 0, 0, Rebuilding Discovery Order
20, 2, AI, 0, 0, 0, Rebuilding Discovery Order
20, 3, AI, 0, 0, 0, Rebuilding Discovery Order
20, 4, AI, 0, 0, 0, Rebuilding Discovery Order
20, 5, AI, 0, 0, 0, Rebuilding Discovery Order
20, 6, AI, 0, 0, 0, Rebuilding Discovery Order
20, 7, AI, 0, 0, 0, Rebuilding Discovery Order
20, 8, AI, 0, 0, 0, Rebuilding Discovery Order
20, 9, AI, 0, 0, 0, Rebuilding Discovery Order
21, 0, Human, 0, 0, 0, Rebuilding Discovery Order
21, 1, AI, 0, 0, 0, Rebuilding Discovery Order
21, 2, AI, 0, 0, 0, Rebuilding Discovery Order
21, 3, AI, 0, 0, 0, Rebuilding Discovery Order
21, 4, AI, 0, 0, 0, Rebuilding Discovery Order
21, 5, AI, 0, 0, 0, Rebuilding Discovery Order
21, 6, AI, 0, 0, 0, Rebuilding Discovery Order
21, 7, AI, 0, 0, 0, Rebuilding Discovery Order
21, 8, AI, 0, 0, 0, Rebuilding Discovery Order
21, 9, AI, 0, 0, 0, Rebuilding Discovery Order
22, 0, Human, 0, 0, 0, Rebuilding Discovery Order
22, 1, AI, 0, 0, 0, Rebuilding Discovery Order
22, 2, AI, 0, 0, 0, Rebuilding Discovery Order
22, 3, AI, 0, 0, 0, Rebuilding Discovery Order
22, 4, AI, 0, 0, 0, Rebuilding Discovery Order
22, 5, AI, 0, 0, 0, Rebuilding Discovery Order
22, 6, AI, 0, 0, 0, Rebuilding Discovery Order
22, 7, AI, 0, 0, 0, Rebuilding Discovery Order
22, 8, AI, 0, 0, 0, Rebuilding Discovery Order
22, 9, AI, 0, 0, 0, Rebuilding Discovery Order
23, 0, Human, 0, 0, 0, Rebuilding Discovery Order
23, 1, AI, 0, 0, 0, Rebuilding Discovery Order
23, 2, AI, 0, 0, 0, Rebuilding Discovery Order
23, 3, AI, 0, 0, 0, Rebuilding Discovery Order
23, 4, AI, 0, 0, 0, Rebuilding Discovery Order
23, 5, AI, 0, 0, 0, Rebuilding Discovery Order
23, 6, AI, 0, 0, 0, Rebuilding Discovery Order
23, 7, AI, 0, 0, 0, Rebuilding Discovery Order
23, 8, AI, 0, 0, 0, Rebuilding Discovery Order
23, 9, AI, 0, 0, 0, Rebuilding Discovery Order
24, 0, Human, 0, 0, 0, Rebuilding Discovery Order
24, 1, AI, 0, 0, 0, Rebuilding Discovery Order
24, 2, AI, 0, 0, 0, Rebuilding Discovery Order
24, 3, AI, 0, 0, 0, Rebuilding Discovery Order
24, 4, AI, 0, 0, 0, Rebuilding Discovery Order
24, 5, AI, 0, 0, 0, Rebuilding Discovery Order
24, 6, AI, 0, 0, 0, Rebuilding Discovery Order
24, 7, AI, 0, 0, 0, Rebuilding Discovery Order
24, 8, AI, 0, 0, 0, Rebuilding Discovery Order
24, 9, AI, 0, 0, 0, Rebuilding Discovery Order
25, 0, Human, 0, 0, 0, Rebuilding Discovery Order
25, 1, AI, 0, 0, 0, Rebuilding Discovery Order
25, 2, AI, 0, 0, 0, Rebuilding Discovery Order
25, 3, AI, 0, 0, 0, Rebuilding Discovery Order
25, 4, AI, 0, 0, 0, Rebuilding Discovery Order
25, 5, AI, 0, 0, 0, Rebuilding Discovery Order
25, 6, AI, 0, 0, 0, Rebuilding Discovery Order
25, 7, AI, 0, 0, 0, Rebuilding Discovery Order
25, 8, AI, 0, 0, 0, Rebuilding Discovery Order
25, 9, AI, 0, 0, 0, Rebuilding Discovery Order
26, 0, Human, 0, 0, 0, Rebuilding Discovery Order
26, 1, AI, 0, 0, 0, Rebuilding Discovery Order
26, 2, AI, 0, 0, 0, Rebuilding Discovery Order
26, 3, AI, 0, 0, 0, Rebuilding Discovery Order
26, 4, AI, 0, 0, 0, Rebuilding Discovery Order
26, 5, AI, 0, 0, 0, Rebuilding Discovery Order
26, 6, AI, 0, 0, 0, Rebuilding Discovery Order
26, 7, AI, 0, 0, 0, Rebuilding Discovery Order
26, 8, AI, 0, 0, 0, Rebuilding Discovery Order
26, 9, AI, 0, 0, 0, Rebuilding Discovery Order
27, 0, Human, 0, 0, 0, Rebuilding Discovery Order
27, 1, AI, 0, 0, 0, Rebuilding Discovery Order
27, 2, AI, 0, 0, 0, Rebuilding Discovery Order
27, 3, AI, 0, 0, 0, Rebuilding Discovery Order
27, 4, AI, 0, 0, 0, Rebuilding Discovery Order
27, 5, AI, 0, 0, 0, Rebuilding Discovery Order
27, 6, AI, 0, 0, 0, Rebuilding Discovery Order
27, 7, AI, 0, 0, 0, Rebuilding Discovery Order
27, 8, AI, 0, 0, 0, Rebuilding Discovery Order
27, 9, AI, 0, 0, 0, Rebuilding Discovery Order
28, 0, Human, 0, 0, 0, Rebuilding Discovery Order
28, 1, AI, 0, 0, 0, Rebuilding Discovery Order
28, 2, AI, 0, 0, 0, Rebuilding Discovery Order
28, 3, AI, 0, 0, 0, Rebuilding Discovery Order
28, 4, AI, 0, 0, 0, Rebuilding Discovery Order
28, 5, AI, 0, 0, 0, Rebuilding Discovery Order
28, 6, AI, 0, 0, 0, Rebuilding Discovery Order
28, 7, AI, 0, 0, 0, Rebuilding Discovery Order
28, 8, AI, 0, 0, 0, Rebuilding Discovery Order
28, 9, AI, 0, 0, 0, Rebuilding Discovery Order
29, 0, Human, 0, 0, 0, Rebuilding Discovery Order
29, 1, AI, 0, 0, 0, Rebuilding Discovery Order
29, 2, AI, 0, 0, 0, Rebuilding Discovery Order
29, 3, AI, 0, 0, 0, Rebuilding Discovery Order
29, 4, AI, 0, 0, 0, Rebuilding Discovery Order
29, 5, AI, 0, 0, 0, Rebuilding Discovery Order
29, 6, AI, 0, 0, 0, Rebuilding Discovery Order
29, 7, AI, 0, 0, 0, Rebuilding Discovery Order
29, 8, AI, 0, 0, 0, Rebuilding Discovery Order
29, 9, AI, 0, 0, 0, Rebuilding Discovery Order
30, 0, Human, 0, 0, 0, Rebuilding Discovery Order
30, 1, AI, 0, 0, 0, Rebuilding Discovery Order
30, 2, AI, 0, 0, 0, Rebuilding Discovery Order
30, 3, AI, 0, 0, 0, Rebuilding Discovery Order
30, 4, AI, 0, 0, 0, Rebuilding Discovery Order
30, 5, AI, 0, 0, 0, Rebuilding Discovery Order
30, 6, AI, 0, 0, 0, Rebuilding Discovery Order
30, 7, AI, 0, 0, 0, Rebuilding Discovery Order
30, 8, AI, 0, 0, 0, Rebuilding Discovery Order
30, 9, AI, 0, 0, 0, Rebuilding Discovery Order
31, 0, Human, 0, 0, 0, Rebuilding Discovery Order
31, 1, AI, 0, 0, 0, Rebuilding Discovery Order
31, 2, AI, 0, 0, 0, Rebuilding Discovery Order
31, 3, AI, 0, 0, 0, Rebuilding Discovery Order
31, 4, AI, 0, 0, 0, Rebuilding Discovery Order
31, 5, AI, 0, 0, 0, Rebuilding Discovery Order
31, 6, AI, 0, 0, 0, Rebuilding Discovery Order
31, 7, AI, 0, 0, 0, Rebuilding Discovery Order
31, 8, AI, 0, 0, 0, Rebuilding Discovery Order
31, 9, AI, 0, 0, 0, Rebuilding Discovery Order
32, 0, Human, 0, 0, 0, Rebuilding Discovery Order
32, 1, AI, 0, 0, 0, Rebuilding Discovery Order
32, 2, AI, 0, 0, 0, Rebuilding Discovery Order
32, 3, AI, 0, 0, 0, Rebuilding Discovery Order
32, 4, AI, 0, 0, 0, Rebuilding Discovery Order
32, 5, AI, 0, 0, 0, Rebuilding Discovery Order
32, 6, AI, 0, 0, 0, Rebuilding Discovery Order
32, 7, AI, 0, 0, 0, Rebuilding Discovery Order
32, 8, AI, 0, 0, 0, Rebuilding Discovery Order
32, 9, AI, 0, 0, 0, Rebuilding Discovery Order
33, 0, Human, 0, 0, 0, Rebuilding Discovery Order
33, 1, AI, 0, 0, 0, Rebuilding Discovery Order
33, 2, AI, 0, 0, 0, Rebuilding Discovery Order
33, 3, AI, 0, 0, 0, Rebuilding Discovery Order
