Game Turn, Player, Action, Belief, City
9, 4, Found Pantheon, BELIEF_RELIGIOUS_SETTLEMENTS, N/A
9, 4, Adopt Pantheon, N/A, LOC_CITY_NAME_ROME
9, 4, Adopt Pantheon, N/A, LOC_CITY_NAME_OSTIA
14, 5, Found Pantheon, BELIEF_DANCE_OF_THE_AURORA, N/A
14, 5, Adopt Pantheon, N/A, LOC_CITY_NAME_BABYLON_STK
14, 5, Adopt Pantheon, N/A, LOC_CITY_NAME_ESHNUNNA
14, 5, Adopt Pantheon, N/A, LOC_CITY_NAME_DUR_KURIGALZU
19, 2, Found Pantheon, BELIEF_SACRED_PATH, N/A
19, 2, Adopt Pantheon, N/A, LOC_CITY_NAME_MBANZA_KONGO
19, 2, Adopt Pantheon, N/A, LOC_CITY_NAME_MBAMBA
19, 2, Adopt Pantheon, N/A, LOC_CITY_NAME_KWANGO
27, 8, Found Pantheon, BELIEF_DESERT_FOLKLORE, N/A
27, 8, Adopt Pantheon, N/A, LOC_CITY_NAME_PATNA
27, 8, Adopt Pantheon, N/A, LOC_CITY_NAME_DELHI
27, 8, Adopt Pantheon, N/A, LOC_CITY_NAME_MADURAI
32, 7, Found Pantheon, BELIEF_GOD_OF_THE_FORGE, N/A
32, 7, Adopt Pantheon, N/A, LOC_CITY_NAME_CANBERRA
32, 7, Adopt Pantheon, N/A, LOC_CITY_NAME_PERTH
32, 7, Adopt Pantheon, N/A, LOC_CITY_NAME_ADELAIDE
34, 7, Found Religion, RELIGION_PROTESTANTISM, N/A
34, 7, Add belief to LOC_RELIGION_PROTESTANTISM, BELIEF_CHORAL_MUSIC, N/A
34, 0, Adopt Religion, N/A, LOC_CITY_NAME_LISBON_STK
34, 0, Adopt Religion, N/A, LOC_CITY_NAME_COIMBRA
34, 1, Adopt Religion, N/A, LOC_CITY_NAME_ADUATUCA
34, 1, Adopt Religion, N/A, LOC_CITY_NAME_RATUMACOS
34, 1, Adopt Religion, N/A, LOC_CITY_NAME_BIBRAX
34, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBANZA_KONGO
34, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBAMBA
34, 2, Adopt Religion, N/A, LOC_CITY_NAME_KWANGO
34, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBANZA_MBATA
34, 3, Adopt Religion, N/A, LOC_CITY_NAME_TENOCHTITLAN
34, 3, Adopt Religion, N/A, LOC_CITY_NAME_TEAYO
34, 3, Adopt Religion, N/A, LOC_CITY_NAME_MALINALCO
34, 3, Adopt Religion, N/A, LOC_CITY_NAME_XOCHICALCO
34, 4, Adopt Religion, N/A, LOC_CITY_NAME_ROME
34, 4, Adopt Religion, N/A, LOC_CITY_NAME_OSTIA
34, 4, Adopt Religion, N/A, LOC_CITY_NAME_RAVENNA
34, 4, Adopt Religion, N/A, LOC_CITY_NAME_MEDIOLANUM
34, 5, Adopt Religion, N/A, LOC_CITY_NAME_BABYLON_STK
34, 5, Adopt Religion, N/A, LOC_CITY_NAME_ESHNUNNA
34, 5, Adopt Religion, N/A, LOC_CITY_NAME_DUR_KURIGALZU
34, 6, Adopt Religion, N/A, LOC_CITY_NAME_STIRLING
34, 6, Adopt Religion, N/A, LOC_CITY_NAME_ROXBURGH
34, 6, Adopt Religion, N/A, LOC_CITY_NAME_CULLEN
34, 7, Adopt Religion, N/A, LOC_CITY_NAME_CANBERRA
34, 7, Adopt Religion, N/A, LOC_CITY_NAME_PERTH
34, 7, Adopt Religion, N/A, LOC_CITY_NAME_ADELAIDE
34, 8, Adopt Religion, N/A, LOC_CITY_NAME_PATNA
34, 8, Adopt Religion, N/A, LOC_CITY_NAME_DELHI
34, 8, Adopt Religion, N/A, LOC_CITY_NAME_MADURAI
34, 9, Adopt Religion, N/A, LOC_CITY_NAME_PELLA
34, 9, Adopt Religion, N/A, LOC_CITY_NAME_DION
34, 9, Adopt Religion, N/A, LOC_CITY_NAME_ALEXANDRIA_TROAS
34, 10, Adopt Religion, N/A, LOC_CITY_NAME_SAMARKAND
34, 11, Adopt Religion, N/A, LOC_CITY_NAME_AUCKLAND
34, 12, Adopt Religion, N/A, LOC_CITY_NAME_MUSCAT
34, 13, Adopt Religion, N/A, LOC_CITY_NAME_GENEVA
34, 14, Adopt Religion, N/A, LOC_CITY_NAME_JOHANNESBURG
34, 15, Adopt Religion, N/A, LOC_CITY_NAME_LISBON
34, 16, Adopt Religion, N/A, LOC_CITY_NAME_SINGAPORE
34, 17, Adopt Religion, N/A, LOC_CITY_NAME_BOLOGNA
34, 18, Adopt Religion, N/A, LOC_CITY_NAME_KUMASI
34, 19, Adopt Religion, N/A, LOC_CITY_NAME_BRUSSELS
34, 20, Adopt Religion, N/A, LOC_CITY_NAME_BANDAR_BRUNEI
34, 21, Adopt Religion, N/A, LOC_CITY_NAME_MOHENJO_DARO
34, 22, Adopt Religion, N/A, LOC_CITY_NAME_ANTIOCH
34, 23, Adopt Religion, N/A, LOC_CITY_NAME_HATTUSA
34, 24, Adopt Religion, N/A, LOC_CITY_NAME_HUNZA
34, 7, Add belief to LOC_RELIGION_PROTESTANTISM, BELIEF_MEETING_HOUSE, N/A
34, 0, Adopt Religion, N/A, LOC_CITY_NAME_LISBON_STK
34, 0, Adopt Religion, N/A, LOC_CITY_NAME_COIMBRA
34, 1, Adopt Religion, N/A, LOC_CITY_NAME_ADUATUCA
34, 1, Adopt Religion, N/A, LOC_CITY_NAME_RATUMACOS
34, 1, Adopt Religion, N/A, LOC_CITY_NAME_BIBRAX
34, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBANZA_KONGO
34, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBAMBA
34, 2, Adopt Religion, N/A, LOC_CITY_NAME_KWANGO
34, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBANZA_MBATA
34, 3, Adopt Religion, N/A, LOC_CITY_NAME_TENOCHTITLAN
34, 3, Adopt Religion, N/A, LOC_CITY_NAME_TEAYO
34, 3, Adopt Religion, N/A, LOC_CITY_NAME_MALINALCO
34, 3, Adopt Religion, N/A, LOC_CITY_NAME_XOCHICALCO
34, 4, Adopt Religion, N/A, LOC_CITY_NAME_ROME
34, 4, Adopt Religion, N/A, LOC_CITY_NAME_OSTIA
34, 4, Adopt Religion, N/A, LOC_CITY_NAME_RAVENNA
34, 4, Adopt Religion, N/A, LOC_CITY_NAME_MEDIOLANUM
34, 5, Adopt Religion, N/A, LOC_CITY_NAME_BABYLON_STK
34, 5, Adopt Religion, N/A, LOC_CITY_NAME_ESHNUNNA
34, 5, Adopt Religion, N/A, LOC_CITY_NAME_DUR_KURIGALZU
34, 6, Adopt Religion, N/A, LOC_CITY_NAME_STIRLING
34, 6, Adopt Religion, N/A, LOC_CITY_NAME_ROXBURGH
34, 6, Adopt Religion, N/A, LOC_CITY_NAME_CULLEN
34, 7, Adopt Religion, N/A, LOC_CITY_NAME_CANBERRA
34, 7, Adopt Religion, N/A, LOC_CITY_NAME_PERTH
34, 7, Adopt Religion, N/A, LOC_CITY_NAME_ADELAIDE
34, 8, Adopt Religion, N/A, LOC_CITY_NAME_PATNA
34, 8, Adopt Religion, N/A, LOC_CITY_NAME_DELHI
34, 8, Adopt Religion, N/A, LOC_CITY_NAME_MADURAI
34, 9, Adopt Religion, N/A, LOC_CITY_NAME_PELLA
34, 9, Adopt Religion, N/A, LOC_CITY_NAME_DION
34, 9, Adopt Religion, N/A, LOC_CITY_NAME_ALEXANDRIA_TROAS
34, 10, Adopt Religion, N/A, LOC_CITY_NAME_SAMARKAND
34, 11, Adopt Religion, N/A, LOC_CITY_NAME_AUCKLAND
34, 12, Adopt Religion, N/A, LOC_CITY_NAME_MUSCAT
34, 13, Adopt Religion, N/A, LOC_CITY_NAME_GENEVA
34, 14, Adopt Religion, N/A, LOC_CITY_NAME_JOHANNESBURG
34, 15, Adopt Religion, N/A, LOC_CITY_NAME_LISBON
34, 16, Adopt Religion, N/A, LOC_CITY_NAME_SINGAPORE
34, 17, Adopt Religion, N/A, LOC_CITY_NAME_BOLOGNA
34, 18, Adopt Religion, N/A, LOC_CITY_NAME_KUMASI
34, 19, Adopt Religion, N/A, LOC_CITY_NAME_BRUSSELS
34, 20, Adopt Religion, N/A, LOC_CITY_NAME_BANDAR_BRUNEI
34, 21, Adopt Religion, N/A, LOC_CITY_NAME_MOHENJO_DARO
34, 22, Adopt Religion, N/A, LOC_CITY_NAME_ANTIOCH
34, 23, Adopt Religion, N/A, LOC_CITY_NAME_HATTUSA
34, 24, Adopt Religion, N/A, LOC_CITY_NAME_HUNZA
35, 1, Found Pantheon, BELIEF_EARTH_GODDESS, N/A
35, 1, Adopt Pantheon, N/A, LOC_CITY_NAME_ADUATUCA
35, 1, Adopt Pantheon, N/A, LOC_CITY_NAME_RATUMACOS
35, 1, Adopt Pantheon, N/A, LOC_CITY_NAME_BIBRAX
36, 3, Found Pantheon, BELIEF_FERTILITY_RITES, N/A
36, 3, Adopt Pantheon, N/A, LOC_CITY_NAME_TENOCHTITLAN
36, 3, Adopt Pantheon, N/A, LOC_CITY_NAME_TEAYO
36, 3, Adopt Pantheon, N/A, LOC_CITY_NAME_MALINALCO
36, 3, Adopt Pantheon, N/A, LOC_CITY_NAME_XOCHICALCO
41, 0, Found Pantheon, BELIEF_GOD_OF_THE_SEA, N/A
41, 0, Adopt Pantheon, N/A, LOC_CITY_NAME_LISBON_STK
41, 0, Adopt Pantheon, N/A, LOC_CITY_NAME_COIMBRA
55, 1, Found Religion, RELIGION_JUDAISM, N/A
55, 1, Add belief to LOC_RELIGION_JUDAISM, BELIEF_FEED_THE_WORLD, N/A
55, 0, Adopt Religion, N/A, LOC_CITY_NAME_LISBON_STK
55, 0, Adopt Religion, N/A, LOC_CITY_NAME_COIMBRA
55, 1, Adopt Religion, N/A, LOC_CITY_NAME_ADUATUCA
55, 1, Adopt Religion, N/A, LOC_CITY_NAME_RATUMACOS
55, 1, Adopt Religion, N/A, LOC_CITY_NAME_BIBRAX
55, 1, Adopt Religion, N/A, LOC_CITY_NAME_AVARICUM
55, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBANZA_KONGO
55, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBAMBA
55, 2, Adopt Religion, N/A, LOC_CITY_NAME_KWANGO
55, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBANZA_MBATA
55, 2, Adopt Religion, N/A, LOC_CITY_NAME_KINCHASSA
55, 3, Adopt Religion, N/A, LOC_CITY_NAME_TENOCHTITLAN
55, 3, Adopt Religion, N/A, LOC_CITY_NAME_TEAYO
55, 3, Adopt Religion, N/A, LOC_CITY_NAME_MALINALCO
55, 3, Adopt Religion, N/A, LOC_CITY_NAME_XOCHICALCO
55, 4, Adopt Religion, N/A, LOC_CITY_NAME_ROME
55, 4, Adopt Religion, N/A, LOC_CITY_NAME_OSTIA
55, 4, Adopt Religion, N/A, LOC_CITY_NAME_RAVENNA
55, 4, Adopt Religion, N/A, LOC_CITY_NAME_MEDIOLANUM
55, 4, Adopt Religion, N/A, LOC_CITY_NAME_CUMAE
55, 5, Adopt Religion, N/A, LOC_CITY_NAME_BABYLON_STK
55, 5, Adopt Religion, N/A, LOC_CITY_NAME_ESHNUNNA
55, 5, Adopt Religion, N/A, LOC_CITY_NAME_DUR_KURIGALZU
55, 5, Adopt Religion, N/A, LOC_CITY_NAME_DURMUTI
55, 6, Adopt Religion, N/A, LOC_CITY_NAME_STIRLING
55, 6, Adopt Religion, N/A, LOC_CITY_NAME_ROXBURGH
55, 6, Adopt Religion, N/A, LOC_CITY_NAME_CULLEN
55, 6, Adopt Religion, N/A, LOC_CITY_NAME_DUNDEE
55, 7, Adopt Religion, N/A, LOC_CITY_NAME_CANBERRA
55, 7, Adopt Religion, N/A, LOC_CITY_NAME_PERTH
55, 7, Adopt Religion, N/A, LOC_CITY_NAME_ADELAIDE
55, 7, Adopt Religion, N/A, LOC_CITY_NAME_MELBOURNE
55, 8, Adopt Religion, N/A, LOC_CITY_NAME_PATNA
55, 8, Adopt Religion, N/A, LOC_CITY_NAME_DELHI
55, 8, Adopt Religion, N/A, LOC_CITY_NAME_MADURAI
55, 8, Adopt Religion, N/A, LOC_CITY_NAME_MUMBAI
55, 9, Adopt Religion, N/A, LOC_CITY_NAME_PELLA
55, 9, Adopt Religion, N/A, LOC_CITY_NAME_DION
55, 9, Adopt Religion, N/A, LOC_CITY_NAME_ALEXANDRIA_TROAS
55, 9, Adopt Religion, N/A, LOC_CITY_NAME_PYDNA
55, 10, Adopt Religion, N/A, LOC_CITY_NAME_SAMARKAND
55, 11, Adopt Religion, N/A, LOC_CITY_NAME_AUCKLAND
55, 12, Adopt Religion, N/A, LOC_CITY_NAME_MUSCAT
55, 13, Adopt Religion, N/A, LOC_CITY_NAME_GENEVA
55, 14, Adopt Religion, N/A, LOC_CITY_NAME_JOHANNESBURG
55, 15, Adopt Religion, N/A, LOC_CITY_NAME_LISBON
55, 16, Adopt Religion, N/A, LOC_CITY_NAME_SINGAPORE
55, 17, Adopt Religion, N/A, LOC_CITY_NAME_BOLOGNA
55, 18, Adopt Religion, N/A, LOC_CITY_NAME_KUMASI
55, 19, Adopt Religion, N/A, LOC_CITY_NAME_BRUSSELS
55, 20, Adopt Religion, N/A, LOC_CITY_NAME_BANDAR_BRUNEI
55, 21, Adopt Religion, N/A, LOC_CITY_NAME_MOHENJO_DARO
55, 22, Adopt Religion, N/A, LOC_CITY_NAME_ANTIOCH
55, 23, Adopt Religion, N/A, LOC_CITY_NAME_HATTUSA
55, 24, Adopt Religion, N/A, LOC_CITY_NAME_HUNZA
55, 1, Add belief to LOC_RELIGION_JUDAISM, BELIEF_WAT, N/A
55, 0, Adopt Religion, N/A, LOC_CITY_NAME_LISBON_STK
55, 0, Adopt Religion, N/A, LOC_CITY_NAME_COIMBRA
55, 1, Adopt Religion, N/A, LOC_CITY_NAME_ADUATUCA
55, 1, Adopt Religion, N/A, LOC_CITY_NAME_RATUMACOS
55, 1, Adopt Religion, N/A, LOC_CITY_NAME_BIBRAX
55, 1, Adopt Religion, N/A, LOC_CITY_NAME_AVARICUM
55, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBANZA_KONGO
55, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBAMBA
55, 2, Adopt Religion, N/A, LOC_CITY_NAME_KWANGO
55, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBANZA_MBATA
55, 2, Adopt Religion, N/A, LOC_CITY_NAME_KINCHASSA
55, 3, Adopt Religion, N/A, LOC_CITY_NAME_TENOCHTITLAN
55, 3, Adopt Religion, N/A, LOC_CITY_NAME_TEAYO
55, 3, Adopt Religion, N/A, LOC_CITY_NAME_MALINALCO
55, 3, Adopt Religion, N/A, LOC_CITY_NAME_XOCHICALCO
55, 4, Adopt Religion, N/A, LOC_CITY_NAME_ROME
55, 4, Adopt Religion, N/A, LOC_CITY_NAME_OSTIA
55, 4, Adopt Religion, N/A, LOC_CITY_NAME_RAVENNA
55, 4, Adopt Religion, N/A, LOC_CITY_NAME_MEDIOLANUM
55, 4, Adopt Religion, N/A, LOC_CITY_NAME_CUMAE
55, 5, Adopt Religion, N/A, LOC_CITY_NAME_BABYLON_STK
55, 5, Adopt Religion, N/A, LOC_CITY_NAME_ESHNUNNA
55, 5, Adopt Religion, N/A, LOC_CITY_NAME_DUR_KURIGALZU
55, 5, Adopt Religion, N/A, LOC_CITY_NAME_DURMUTI
55, 6, Adopt Religion, N/A, LOC_CITY_NAME_STIRLING
55, 6, Adopt Religion, N/A, LOC_CITY_NAME_ROXBURGH
55, 6, Adopt Religion, N/A, LOC_CITY_NAME_CULLEN
55, 6, Adopt Religion, N/A, LOC_CITY_NAME_DUNDEE
55, 7, Adopt Religion, N/A, LOC_CITY_NAME_CANBERRA
55, 7, Adopt Religion, N/A, LOC_CITY_NAME_PERTH
55, 7, Adopt Religion, N/A, LOC_CITY_NAME_ADELAIDE
55, 7, Adopt Religion, N/A, LOC_CITY_NAME_MELBOURNE
55, 8, Adopt Religion, N/A, LOC_CITY_NAME_PATNA
55, 8, Adopt Religion, N/A, LOC_CITY_NAME_DELHI
55, 8, Adopt Religion, N/A, LOC_CITY_NAME_MADURAI
55, 8, Adopt Religion, N/A, LOC_CITY_NAME_MUMBAI
55, 9, Adopt Religion, N/A, LOC_CITY_NAME_PELLA
55, 9, Adopt Religion, N/A, LOC_CITY_NAME_DION
55, 9, Adopt Religion, N/A, LOC_CITY_NAME_ALEXANDRIA_TROAS
55, 9, Adopt Religion, N/A, LOC_CITY_NAME_PYDNA
55, 10, Adopt Religion, N/A, LOC_CITY_NAME_SAMARKAND
55, 11, Adopt Religion, N/A, LOC_CITY_NAME_AUCKLAND
55, 12, Adopt Religion, N/A, LOC_CITY_NAME_MUSCAT
55, 13, Adopt Religion, N/A, LOC_CITY_NAME_GENEVA
55, 14, Adopt Religion, N/A, LOC_CITY_NAME_JOHANNESBURG
55, 15, Adopt Religion, N/A, LOC_CITY_NAME_LISBON
55, 16, Adopt Religion, N/A, LOC_CITY_NAME_SINGAPORE
55, 17, Adopt Religion, N/A, LOC_CITY_NAME_BOLOGNA
55, 18, Adopt Religion, N/A, LOC_CITY_NAME_KUMASI
55, 19, Adopt Religion, N/A, LOC_CITY_NAME_BRUSSELS
55, 20, Adopt Religion, N/A, LOC_CITY_NAME_BANDAR_BRUNEI
55, 21, Adopt Religion, N/A, LOC_CITY_NAME_MOHENJO_DARO
55, 22, Adopt Religion, N/A, LOC_CITY_NAME_ANTIOCH
55, 23, Adopt Religion, N/A, LOC_CITY_NAME_HATTUSA
55, 24, Adopt Religion, N/A, LOC_CITY_NAME_HUNZA
60, 3, Found Religion, RELIGION_SIKHISM, N/A
60, 3, Add belief to LOC_RELIGION_SIKHISM, BELIEF_WARRIOR_MONKS, N/A
60, 0, Adopt Religion, N/A, LOC_CITY_NAME_LISBON_STK
60, 0, Adopt Religion, N/A, LOC_CITY_NAME_COIMBRA
60, 1, Adopt Religion, N/A, LOC_CITY_NAME_ADUATUCA
60, 1, Adopt Religion, N/A, LOC_CITY_NAME_RATUMACOS
60, 1, Adopt Religion, N/A, LOC_CITY_NAME_BIBRAX
