Turn, SecretSociety, Event
1, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 6 (chance = 100 out of 100)
1, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 6
1, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 9 (chance = 95 out of 100)
1, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 9
2, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 0 (chance = 90 out of 100)
2, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 0
2, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Player 6 Joins
2, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 7 (chance = 80 out of 100)
2, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 7
2, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Player 9 Joins
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 3 (chance = 60 out of 100)
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 3
3, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 3 (chance = 56 out of 100)
3, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 3
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 4 (chance = 40 out of 100)
4, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Player 3 Joins
4, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 6 (chance = 40 out of 100)
1, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 0 (chance = 100 out of 100)
1, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 0
2, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 0 (chance = 64 out of 100)
2, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 0
1, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 9 (chance = 80 out of 100)
1, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 9
2, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 1 (chance = 100 out of 100)
2, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 1
2, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 1 (chance = 60 out of 100)
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 3 (chance = 76 out of 100)
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 5 (chance = 60 out of 100)
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 5
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 6 (chance = 72 out of 100)
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 7 (chance = 56 out of 100)
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 7
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 8 (chance = 68 out of 100)
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 8
4, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 0 (chance = 70 out of 100)
4, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 0
4, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 4 (chance = 64 out of 100)
4, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 4 (chance = 66 out of 100)
4, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 4
4, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Player 7 Joins
4, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 8 (chance = 63 out of 100)
4, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 8
4, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 4 (chance = 64 out of 100)
5, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 0 (chance = 48 out of 100)
5, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 1 (chance = 56 out of 100)
5, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Discovered by Player 1
5, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 2 (chance = 59 out of 100)
5, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 2
5, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Player 4 Joins
6, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Player 2 Joins
6, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 9 (chance = 56 out of 100)
6, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 9
7, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 6 (chance = 52 out of 100)
7, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 6
8, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 5 (chance = 21 out of 100)
8, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 5
8, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 6 (chance = 64 out of 100)
8, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 6
9, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 1 (chance = 17 out of 100)
10, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 6 (chance = 66 out of 100)
10, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Discovered by Player 6
11, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 1 (chance = 17 out of 100)
12, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 7 (chance = 49 out of 100)
12, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Discovered by Player 7
13, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 3 (chance = 95 out of 100)
13, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 3
14, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 7 (chance = 17 out of 100)
16, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 3 (chance = 59 out of 100)
16, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 5 (chance = 45 out of 100)
16, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Discovered by Player 5
16, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 7 (chance = 17 out of 100)
17, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 0 (chance = 44 out of 100)
17, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 7 (chance = 17 out of 100)
20, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 2 (chance = 56 out of 100)
21, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 7 (chance = 17 out of 100)
22, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Player 1 Joins
25, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 7 (chance = 17 out of 100)
25, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Player 8 Joins
26, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 0 (chance = 42 out of 100)
26, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Discovered by Player 0
26, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Player 5 Joins
26, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 7 (chance = 17 out of 100)
27, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 7 (chance = 17 out of 100)
27, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 7
29, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Player 6 Joins
31, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 2 (chance = 60 out of 100)
35, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Player 3 Joins
39, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 8 (chance = 52 out of 100)
39, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Discovered by Player 8
44, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 2 (chance = 60 out of 100)
47, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 9 (chance = 35 out of 100)
56, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 1 (chance = 60 out of 100)
56, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 1
59, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 6 (chance = 90 out of 100)
59, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 6
61, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 9 (chance = 35 out of 100)
64, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Player 9 Joins
72, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 5 (chance = 85 out of 100)
72, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 5
79, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 2 (chance = 56 out of 100)
79, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 2
85, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 9 (chance = 35 out of 100)
85, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Discovered by Player 9
92, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 0 (chance = 52 out of 100)
92, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 3 (chance = 36 out of 100)
92, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 3
95, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 7 (chance = 80 out of 100)
95, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 7
99, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 4 (chance = 48 out of 100)
99, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 4
127, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 2 (chance = 75 out of 100)
127, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 2
131, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 0 (chance = 70 out of 100)
131, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 0
140, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 1
